Node,Risk_Score
GRC_C26,1.0
KAZ_C26,1.0
TWN_J61,1.0
SVN_J61,1.0
TUN_J61,1.0
THA_C27,1.0
CZE_C27,1.0
COL_C27,1.0
MYS_C27,1.0
DEU_C27,1.0
GRC_C27,1.0
EST_C27,1.0
ARE_C27,1.0
S2_C26,1.0
APEC_C26,1.0
ISR_C28,1.0
CZE_C28,1.0
PHL_C26,1.0
BGR_C26,1.0
HRV_C27,1.0
BGD_C27,1.0
SAU_C28,1.0
NZL_C26,1.0
SGP_C28,1.0
IRL_C26,0.9966666666666667
WXD_J61,0.9966666666666667
MEX_J61,0.9966666666666667
SWE_C28,0.9966666666666667
TUN_C28,0.9966666666666667
OECD_C28,0.9966666666666667
HRV_J61,0.9966666666666667
BLR_J61,0.9966666666666667
COL_J61,0.9966666666666667
ZAF_C26,0.9966666666666667
ZAF_J61,0.9966666666666667
MAR_J61,0.9966666666666667
CYP_C27,0.9966666666666667
ROU_C28,0.9966666666666667
NGA_C28,0.9966666666666667
NOR_C28,0.9966666666666667
PER_C28,0.9966666666666667
W_O_C27,0.9966666666666667
BEL_C27,0.9966666666666667
D_C26,0.9966666666666667
W_O_C26,0.9966666666666667
IDN_C27,0.9933333333333333
AUS_C26,0.9933333333333333
CHL_C27,0.9933333333333333
CAN_C27,0.9933333333333333
EGY_C28,0.9933333333333333
IND_C26,0.9933333333333333
MEX_C26,0.9933333333333333
MLT_J61,0.9933333333333333
FIN_C26,0.9933333333333333
IDN_J61,0.9933333333333333
AUT_J61,0.9933333333333333
SVK_C28,0.9933333333333333
LTU_C27,0.9933333333333333
CRI_C27,0.9933333333333333
PRT_C27,0.9933333333333333
EU28_C26,0.9933333333333333
PAK_C28,0.9933333333333333
NLD_C26,0.9933333333333333
NZL_C28,0.9933333333333333
MYS_C28,0.9933333333333333
LUX_J61,0.99
LAO_C27,0.99
NZL_J61,0.99
LTU_C26,0.99
CHL_C26,0.99
ESP_C27,0.99
ZAF_C27,0.99
MEX_C27,0.99
EU28XEU15_C26,0.99
THA_C26,0.99
CAN_J61,0.99
TWN_C28,0.99
VNM_J61,0.99
PHL_C28,0.99
MLT_C28,0.99
ROU_C26,0.99
CHL_C28,0.99
IDN_C28,0.99
HUN_C28,0.99
JOR_C28,0.9866666666666667
SVN_C28,0.9866666666666667
S2_C28,0.9866666666666667
ISR_J61,0.9866666666666667
FRA_C26,0.9866666666666667
HUN_C26,0.9866666666666667
SVK_C26,0.9866666666666667
MAR_C28,0.9866666666666667
LTU_C28,0.9866666666666667
EA19_C26,0.9866666666666667
ITA_C28,0.9866666666666667
POL_C27,0.9866666666666667
UKR_C27,0.9866666666666667
IRL_C27,0.9866666666666667
AUS_C27,0.9866666666666667
COD_C27,0.9866666666666667
BRA_C27,0.9866666666666667
ISL_J61,0.9833333333333333
HUN_J61,0.9833333333333333
SWE_J61,0.9833333333333333
NAFTA_C27,0.9833333333333333
SAU_C27,0.9833333333333333
THA_C28,0.9833333333333333
S2_S8_C28,0.9833333333333333
KOR_C28,0.9833333333333333
COL_C28,0.9833333333333333
HUN_C27,0.9833333333333333
KOR_C27,0.9833333333333333
FIN_C28,0.9833333333333333
CZE_C26,0.9833333333333333
DNK_C26,0.9833333333333333
D_J61,0.98
S2_S8_J61,0.98
LTU_J61,0.98
NLD_J61,0.98
SGP_J61,0.98
JPN_C28,0.98
PRT_C28,0.98
NAFTA_C28,0.98
VNM_C28,0.98
ARG_J61,0.98
EST_J61,0.98
CYP_J61,0.98
BRA_J61,0.98
NAFTA_C26,0.98
DEU_C28,0.98
EU27_2020_C26,0.98
FRA_C28,0.98
BLR_C28,0.98
DEU_C26,0.98
CYP_C26,0.98
COD_C26,0.98
NOR_C27,0.9766666666666667
EU27_2020_J61,0.9766666666666667
G20_J61,0.9766666666666667
ITA_C26,0.9766666666666667
THA_J61,0.9766666666666667
CRI_J61,0.9766666666666667
ISL_C26,0.9766666666666667
BEL_C26,0.9766666666666667
VNM_C26,0.9766666666666667
TWN_C27,0.9766666666666667
SWE_C27,0.9766666666666667
RUS_C27,0.9766666666666667
BLR_C27,0.9766666666666667
E_C27,0.9766666666666667
A5_A7_C27,0.9766666666666667
SGP_C26,0.9733333333333334
ZAF_C28,0.9733333333333334
F_J61,0.9733333333333334
NZL_C27,0.9733333333333334
ROU_J61,0.9733333333333334
JPN_C26,0.9733333333333334
MAR_C27,0.9733333333333334
NOR_C26,0.9733333333333334
CHN_C27,0.9733333333333334
TUR_C26,0.9733333333333334
W_C27,0.9733333333333334
CHN_C28,0.9733333333333334
CRI_C26,0.9733333333333334
BRA_C26,0.9733333333333334
TUN_C26,0.97
ROU_C27,0.97
ARG_C27,0.97
LVA_C27,0.97
EU28XEU15_C28,0.97
WXD_C28,0.97
PAK_C27,0.97
FRA_C27,0.97
RUS_C26,0.97
BEL_C28,0.9666666666666667
BGD_C26,0.9666666666666667
F_C28,0.9666666666666667
CIV_J61,0.9666666666666667
EST_C28,0.9666666666666667
AUT_C27,0.9666666666666667
JOR_C26,0.9666666666666667
CYP_C28,0.9666666666666667
MLT_C26,0.9633333333333334
PAK_J61,0.9633333333333334
PER_J61,0.9633333333333334
CHL_J61,0.9633333333333334
DEU_J61,0.9633333333333334
IND_J61,0.96
GBR_C27,0.96
SVK_C27,0.96
S2_S8_C27,0.96
AUT_C26,0.96
EST_C26,0.96
EU27_2020_C27,0.9566666666666667
PHL_C27,0.9566666666666667
PRT_C26,0.9566666666666667
LUX_C28,0.9566666666666667
BGR_C28,0.9566666666666667
FRA_J61,0.9566666666666667
DNK_C27,0.9566666666666667
KOR_J61,0.9566666666666667
GBR_J61,0.9566666666666667
SVN_C26,0.9566666666666667
CZE_J61,0.9533333333333334
NAFTA_J61,0.9533333333333334
UKR_J61,0.9533333333333334
SGP_C27,0.9533333333333334
ITA_C27,0.9533333333333334
CAN_C28,0.95
E_C26,0.95
NGA_C26,0.95
MEX_C28,0.95
EU28_C28,0.95
MYS_J61,0.95
HRV_C26,0.95
EU28_J61,0.95
NGA_C27,0.9466666666666667
SEN_C28,0.9466666666666667
EU28XEU15_J61,0.9466666666666667
LUX_C26,0.9466666666666667
AUS_C28,0.9466666666666667
ESP_C28,0.9466666666666667
LUX_C27,0.9466666666666667
JOR_C27,0.9466666666666667
GBR_C26,0.9466666666666667
F_C26,0.9433333333333334
MLT_C27,0.9433333333333334
GBR_C28,0.9433333333333334
SAU_J61,0.9433333333333334
WXOECD_C28,0.9433333333333334
KOR_C26,0.9433333333333334
USA_J61,0.9433333333333334
POL_J61,0.9433333333333334
LAO_C28,0.94
W_O_C28,0.94
S2_S8_C26,0.94
D_C27,0.94
ARE_C28,0.94
JOR_J61,0.9366666666666666
USA_C28,0.9366666666666666
HKG_J61,0.9366666666666666
FIN_J61,0.9366666666666666
MAR_C26,0.9366666666666666
DNK_J61,0.9366666666666666
PER_C26,0.9366666666666666
ARG_C26,0.9366666666666666
PER_C27,0.9333333333333333
ASEAN_C28,0.9333333333333333
BLR_C26,0.9333333333333333
ARG_C28,0.9333333333333333
RUS_J61,0.93
KAZ_C28,0.93
BGD_C28,0.93
NLD_C28,0.93
EU15_C26,0.93
G20_C28,0.93
TUN_C27,0.9266666666666666
A5_A7_J61,0.9266666666666666
BEL_J61,0.9266666666666666
GRC_J61,0.9266666666666666
HKG_C26,0.9266666666666666
G20_C26,0.9266666666666666
ARE_J61,0.9266666666666666
WXOECD_C27,0.9233333333333333
D_C28,0.9233333333333333
COD_J61,0.9233333333333333
TUR_C27,0.9233333333333333
BGR_C27,0.9233333333333333
EU15_C28,0.9233333333333333
IRL_C28,0.92
S2_J61,0.92
RUS_C28,0.92
OECD_J61,0.92
ASEAN_J61,0.92
EA19_C28,0.92
IND_C27,0.9166666666666666
WXOECD_J61,0.9133333333333333
POL_C26,0.9133333333333333
ESP_C26,0.9133333333333333
KAZ_C27,0.9133333333333333
GRC_C28,0.9133333333333333
APEC_J61,0.9133333333333333
WXD_C27,0.91
ITA_J61,0.9066666666666666
S2_C27,0.9033333333333333
IND_C28,0.9
EU27_2020_C28,0.9
AUT_C28,0.9
ASEAN_C26,0.9
BRN_C27,0.8966666666666666
EU15_C27,0.8966666666666666
CHN_J61,0.89
NGA_J61,0.89
EA19_C27,0.89
EU15_J61,0.8833333333333333
TUR_C28,0.8833333333333333
ISR_C27,0.8833333333333333
A5_A7_C28,0.88
EA19_J61,0.8766666666666667
E_J61,0.8766666666666667
MYS_C26,0.8766666666666667
WXD_C26,0.8633333333333333
EGY_J61,0.8633333333333333
PAK_C26,0.8633333333333333
IRL_J61,0.86
SWE_C26,0.86
W_J61,0.86
FIN_C27,0.86
USA_C27,0.8566666666666667
BRN_C26,0.8566666666666667
WXOECD_C26,0.8566666666666667
KAZ_J61,0.8533333333333334
NLD_C27,0.8533333333333334
BRA_C28,0.85
CHN_C26,0.85
DNK_C28,0.85
SAU_C26,0.8466666666666667
BGR_J61,0.8466666666666667
CAN_C26,0.8466666666666667
EU28_C27,0.8366666666666667
LAO_C26,0.8366666666666667
COL_C26,0.8333333333333334
PRT_J61,0.8333333333333334
W_C26,0.8333333333333334
ARE_C26,0.83
POL_C28,0.83
BRN_J61,0.8266666666666667
EGY_C27,0.8266666666666667
VNM_C27,0.8266666666666667
EGY_C26,0.82
USA_C26,0.8166666666666667
BGD_J61,0.8166666666666667
TUR_J61,0.8133333333333334
ISL_C27,0.7966666666666666
MMR_C28,0.79
NOR_J61,0.79
ISR_C26,0.79
APEC_C27,0.7866666666666666
ASEAN_C27,0.7866666666666666
LVA_C28,0.7866666666666666
E_C28,0.7866666666666666
LAO_J61,0.78
W_O_J61,0.7766666666666666
CIV_C26,0.77
HKG_C28,0.7666666666666667
OECD_C27,0.7633333333333333
LVA_C26,0.7566666666666667
OECD_C26,0.75
PHL_J61,0.7433333333333333
APEC_C28,0.7433333333333333
EU28XEU15_C27,0.7266666666666667
BRN_C28,0.7266666666666667
SVN_C27,0.72
CIV_C27,0.71
HRV_C28,0.6933333333333334
SVK_J61,0.68
HKG_C27,0.5833333333333334
A5_A7_C26,0.57
F_C27,0.5433333333333333
CIV_C28,0.5
ESP_J61,0.49666666666666665
JPN_C27,0.48
TWN_C26,0.47
W_C28,0.46
ISL_C28,0.45666666666666667
IDN_C26,0.4533333333333333
AUS_J61,0.45
MMR_C27,0.44333333333333336
CRI_C28,0.41333333333333333
STP_C27,0.4066666666666667
UKR_C26,0.3933333333333333
STP_J61,0.39
CMR_J61,0.39
CHE_J61,0.39
UKR_C28,0.37333333333333335
STP_C28,0.37333333333333335
SEN_J61,0.36
CHE_C28,0.36
CHE_C27,0.35333333333333333
AGO_J61,0.35333333333333333
CMR_C28,0.35
G20_C27,0.35
SEN_C26,0.3466666666666667
KHM_C27,0.3466666666666667
AGO_C28,0.33
CMR_C27,0.31333333333333335
CMR_C26,0.30666666666666664
CHE_C26,0.30333333333333334
JPN_J61,0.30333333333333334
LVA_J61,0.2833333333333333
MMR_J61,0.27
AGO_C27,0.26
STP_C26,0.25666666666666665
KHM_J61,0.24666666666666667
MMR_C26,0.22
AGO_C26,0.19666666666666666
KHM_C26,0.19333333333333333
KHM_C28,0.11
SEN_C27,0.09666666666666666
COD_C28,0.08
